linearWeight,quadraticWeight,minChance,maxChance,scale,midpoint,avgTotalGoals,closeGameDrawRate,homeDominantConversion,goalDelta,closeDrawDelta,dominantDelta,targetScore
70,30,5,53,48,29.00,11.328,0.1353,0.6720,3.978,0.0353,0.0280,0.2299
75,25,5,53,48,29.00,11.312,0.1358,0.6687,3.962,0.0358,0.0313,0.2305
70,30,10,46,36,28.00,10.976,0.1368,0.6209,3.626,0.0368,0.0791,0.2311
35,65,3,55,52,29.00,11.326,0.1326,0.7383,3.976,0.0326,0.0383,0.2318
30,70,3,55,52,29.00,11.310,0.1317,0.7434,3.960,0.0317,0.0434,0.2322
75,25,10,46,36,28.00,10.992,0.1372,0.6139,3.642,0.0372,0.0861,0.2345
35,65,8,52,44,30.00,11.729,0.1327,0.7000,4.379,0.0327,0.0000,0.2385
45,55,6,54,48,30.00,11.713,0.1328,0.7031,4.363,0.0328,0.0031,0.2389
50,50,6,54,48,30.00,11.744,0.1321,0.7002,4.394,0.0321,0.0002,0.2391
60,40,4,56,52,30.00,11.728,0.1331,0.7010,4.378,0.0331,0.0010,0.2391
65,35,4,56,52,30.00,11.697,0.1342,0.6959,4.347,0.0342,0.0041,0.2393
30,70,8,52,44,30.00,11.745,0.1325,0.7048,4.395,0.0325,0.0048,0.2409
55,45,6,54,48,30.00,11.712,0.1336,0.6913,4.362,0.0336,0.0087,0.2413
55,45,4,56,52,30.00,11.744,0.1332,0.7109,4.394,0.0332,0.0109,0.2434
70,30,4,56,52,30.00,11.745,0.1335,0.6897,4.395,0.0335,0.0103,0.2434
60,40,6,54,48,30.00,11.744,0.1334,0.6893,4.394,0.0334,0.0107,0.2435
40,60,6,54,48,30.00,11.776,0.1327,0.7078,4.426,0.0327,0.0078,0.2436
45,55,8,52,44,30.00,11.729,0.1344,0.6879,4.379,0.0344,0.0121,0.2438
40,60,8,52,44,30.00,11.760,0.1340,0.6909,4.410,0.0340,0.0091,0.2441
45,55,4,56,52,30.00,11.696,0.1326,0.7244,4.346,0.0326,0.0244,0.2454
65,35,6,54,48,30.00,11.712,0.1335,0.6790,4.362,0.0335,0.0210,0.2455
50,50,4,56,52,30.00,11.760,0.1328,0.7159,4.410,0.0328,0.0159,0.2457
35,65,6,54,48,30.00,11.728,0.1324,0.7216,4.378,0.0324,0.0216,0.2459
30,70,6,54,48,30.00,11.712,0.1320,0.7251,4.362,0.0320,0.0251,0.2461
30,70,10,50,40,30.00,11.776,0.1330,0.6840,4.426,0.0330,0.0160,0.2467
75,25,4,56,52,30.00,11.760,0.1333,0.6809,4.410,0.0333,0.0191,0.2471
40,60,4,56,52,30.00,11.729,0.1322,0.7300,4.379,0.0322,0.0300,0.2488
50,50,8,52,44,30.00,11.808,0.1333,0.6813,4.458,0.0333,0.0187,0.2494
70,30,6,54,48,30.00,11.727,0.1340,0.6707,4.377,0.0340,0.0293,0.2495
35,65,4,56,52,30.00,11.728,0.1311,0.7360,4.378,0.0311,0.0360,0.2502
75,25,6,54,48,30.00,11.711,0.1350,0.6675,4.361,0.0350,0.0324,0.2504
30,70,4,56,52,30.00,11.712,0.1311,0.7415,4.362,0.0311,0.0415,0.2512
60,40,8,52,44,30.00,11.743,0.1349,0.6694,4.393,0.0349,0.0306,0.2513
35,65,10,50,40,30.00,11.824,0.1337,0.6784,4.474,0.0337,0.0216,0.2514
65,35,8,52,44,30.00,11.696,0.1349,0.6610,4.346,0.0349,0.0390,0.2518
55,45,8,52,44,30.00,11.775,0.1348,0.6711,4.425,0.0348,0.0289,0.2522
45,55,10,50,40,30.00,11.760,0.1340,0.6658,4.410,0.0340,0.0342,0.2529
40,60,10,50,40,30.00,11.824,0.1338,0.6722,4.474,0.0338,0.0278,0.2537
50,50,10,50,40,30.00,11.776,0.1330,0.6612,4.426,0.0330,0.0388,0.2547
70,30,8,52,44,30.00,11.744,0.1344,0.6535,4.394,0.0344,0.0465,0.2566
55,45,10,50,40,30.00,11.761,0.1341,0.6545,4.411,0.0341,0.0454,0.2569
60,40,10,50,40,30.00,11.743,0.1346,0.6510,4.393,0.0346,0.0490,0.2576
75,25,8,52,44,30.00,11.760,0.1341,0.6521,4.410,0.0341,0.0479,0.2577
60,40,5,57,52,31.00,12.127,0.1310,0.6983,4.777,0.0310,0.0017,0.2581
65,35,5,57,52,31.00,12.095,0.1326,0.6927,4.745,0.0326,0.0073,0.2594
65,35,10,50,40,30.00,11.775,0.1330,0.6430,4.425,0.0330,0.0570,0.2610
55,45,5,57,52,31.00,12.146,0.1307,0.7088,4.796,0.0307,0.0088,0.2613
70,30,5,57,52,31.00,12.142,0.1319,0.6876,4.792,0.0319,0.0124,0.2631
45,55,5,57,52,31.00,12.098,0.1301,0.7222,4.748,0.0301,0.0222,0.2632
70,30,10,50,40,30.00,11.791,0.1322,0.6375,4.441,0.0322,0.0625,0.2633
50,50,5,57,52,31.00,12.162,0.1305,0.7137,4.812,0.0305,0.0137,0.2637
75,25,10,50,40,30.00,11.791,0.1319,0.6311,4.441,0.0319,0.0689,0.2653
40,60,5,57,52,31.00,12.130,0.1298,0.7277,4.780,0.0298,0.0277,0.2666
75,25,5,57,52,31.00,12.159,0.1314,0.6785,4.809,0.0314,0.0215,0.2668
35,65,5,57,52,31.00,12.130,0.1293,0.7339,4.780,0.0293,0.0339,0.2685
30,70,5,57,52,31.00,12.114,0.1285,0.7394,4.764,0.0285,0.0394,0.2691
45,55,8,56,48,32.00,12.510,0.1298,0.7004,5.160,0.0298,0.0004,0.2760
65,35,6,58,52,32.00,12.495,0.1289,0.6920,5.145,0.0289,0.0080,0.2774
60,40,6,58,52,32.00,12.527,0.1296,0.6971,5.177,0.0296,0.0029,0.2776
50,50,8,56,48,32.00,12.543,0.1291,0.6974,5.193,0.0291,0.0026,0.2780
30,70,10,54,44,32.00,12.543,0.1295,0.7020,5.193,0.0295,0.0020,0.2780
35,65,10,54,44,32.00,12.527,0.1299,0.6963,5.177,0.0299,0.0037,0.2781
55,45,6,58,52,32.00,12.543,0.1295,0.7077,5.193,0.0295,0.0077,0.2801
55,45,8,56,48,32.00,12.512,0.1296,0.6872,5.162,0.0296,0.0128,0.2803
40,60,8,56,48,32.00,12.575,0.1295,0.7044,5.225,0.0295,0.0044,0.2804
45,55,6,58,52,32.00,12.495,0.1301,0.7193,5.145,0.0301,0.0193,0.2821
70,30,6,58,52,32.00,12.544,0.1293,0.6847,5.194,0.0293,0.0153,0.2827
45,55,10,54,44,32.00,12.528,0.1301,0.6831,5.178,0.0301,0.0169,0.2829
50,50,6,58,52,32.00,12.558,0.1302,0.7124,5.208,0.0302,0.0124,0.2829
35,65,8,56,48,32.00,12.528,0.1307,0.7166,5.178,0.0307,0.0166,0.2831
60,40,8,56,48,32.00,12.544,0.1304,0.6846,5.194,0.0304,0.0154,0.2833
30,70,8,56,48,32.00,12.512,0.1304,0.7208,5.162,0.0304,0.0208,0.2836
40,60,10,54,44,32.00,12.560,0.1304,0.6857,5.210,0.0304,0.0143,0.2838
40,60,6,58,52,32.00,12.527,0.1302,0.7258,5.177,0.0302,0.0258,0.2860
65,35,8,56,48,32.00,12.512,0.1317,0.6746,5.162,0.0317,0.0254,0.2860
75,25,6,58,52,32.00,12.560,0.1307,0.6761,5.210,0.0307,0.0239,0.2873
35,65,6,58,52,32.00,12.527,0.1307,0.7312,5.177,0.0307,0.0312,0.2882
30,70,6,58,52,32.00,12.511,0.1309,0.7361,5.161,0.0309,0.0361,0.2892
70,30,8,56,48,32.00,12.528,0.1315,0.6659,5.178,0.0315,0.0341,0.2897
50,50,10,54,44,32.00,12.609,0.1314,0.6768,5.259,0.0314,0.0232,0.2899
75,25,8,56,48,32.00,12.511,0.1321,0.6626,5.161,0.0321,0.0374,0.2904
60,40,10,54,44,32.00,12.543,0.1317,0.6647,5.193,0.0317,0.0353,0.2910
55,45,10,54,44,32.00,12.575,0.1320,0.6663,5.225,0.0320,0.0337,0.2923
65,35,10,54,44,32.00,12.495,0.1326,0.6557,5.145,0.0326,0.0443,0.2923
70,30,10,54,44,32.00,12.543,0.1325,0.6483,5.193,0.0325,0.0517,0.2973
75,25,10,54,44,32.00,12.559,0.1323,0.6469,5.209,0.0323,0.0531,0.2985
45,55,10,58,48,34.00,13.310,0.1297,0.6953,5.960,0.0297,0.0047,0.3175
40,60,10,58,48,34.00,13.374,0.1297,0.7007,6.024,0.0297,0.0007,0.3193
55,45,8,60,52,34.00,13.341,0.1300,0.7047,5.991,0.0300,0.0048,0.3193
65,35,8,60,52,34.00,13.294,0.1297,0.6865,5.944,0.0297,0.0135,0.3197
60,40,8,60,52,34.00,13.326,0.1302,0.6920,5.976,0.0302,0.0080,0.3198
50,50,10,58,48,34.00,13.342,0.1296,0.6922,5.992,0.0296,0.0078,0.3201
45,55,8,60,52,34.00,13.293,0.1291,0.7183,5.943,0.0291,0.0183,0.3210
30,70,10,58,48,34.00,13.311,0.1287,0.7184,5.961,0.0287,0.0184,0.3217
55,45,10,58,48,34.00,13.310,0.1296,0.6829,5.960,0.0296,0.0171,0.3217
35,65,10,58,48,34.00,13.327,0.1298,0.7148,5.977,0.0298,0.0148,0.3219
50,50,8,60,52,34.00,13.358,0.1304,0.7099,6.008,0.0304,0.0099,0.3221
70,30,8,60,52,34.00,13.341,0.1295,0.6808,5.991,0.0295,0.0192,0.3239
40,60,8,60,52,34.00,13.326,0.1280,0.7240,5.976,0.0280,0.0240,0.3240
60,40,10,58,48,34.00,13.342,0.1294,0.6805,5.992,0.0294,0.0195,0.3240
65,35,10,58,48,34.00,13.308,0.1283,0.6713,5.958,0.0283,0.0287,0.3250
35,65,8,60,52,34.00,13.325,0.1287,0.7301,5.975,0.0287,0.0301,0.3265
30,70,8,60,52,34.00,13.309,0.1283,0.7346,5.959,0.0283,0.0346,0.3270
75,25,8,60,52,34.00,13.357,0.1289,0.6721,6.007,0.0289,0.0279,0.3275
70,30,10,58,48,34.00,13.325,0.1278,0.6618,5.975,0.0278,0.0382,0.3288
75,25,10,58,48,34.00,13.309,0.1287,0.6587,5.959,0.0287,0.0413,0.3296
55,45,10,62,52,36.00,14.139,0.1255,0.7023,6.789,0.0255,0.0023,0.3556
45,55,10,62,52,36.00,14.091,0.1235,0.7156,6.741,0.0235,0.0156,0.3566
65,35,10,62,52,36.00,14.091,0.1269,0.6861,6.741,0.0269,0.0139,0.3580
50,50,10,62,52,36.00,14.154,0.1254,0.7079,6.804,0.0254,0.0079,0.3582
60,40,10,62,52,36.00,14.121,0.1277,0.6914,6.771,0.0277,0.0086,0.3582
40,60,10,62,52,36.00,14.123,0.1233,0.7208,6.773,0.0233,0.0208,0.3599
35,65,10,62,52,36.00,14.124,0.1232,0.7269,6.774,0.0232,0.0269,0.3620
70,30,10,62,52,36.00,14.139,0.1267,0.6805,6.789,0.0267,0.0195,0.3623
30,70,10,62,52,36.00,14.109,0.1235,0.7321,6.759,0.0235,0.0321,0.3633
75,25,10,62,52,36.00,14.156,0.1266,0.6717,6.806,0.0266,0.0283,0.3662
