linearWeight,quadraticWeight,minChance,maxChance,scale,midpoint,avgTotalGoals,closeGameDrawRate,homeDominantConversion,goalDelta,closeDrawDelta,dominantDelta,targetScore
60,40,2,34,32,18.00,6.973,0.1690,0.6336,0.377,0.0690,0.0664,0.0835
40,60,6,34,28,20.00,7.806,0.1561,0.6222,0.456,0.0561,0.0778,0.0837
40,60,3,39,36,21.00,8.174,0.1529,0.6685,0.824,0.0529,0.0315,0.0840
45,55,3,39,36,21.00,8.142,0.1532,0.6641,0.792,0.0532,0.0359,0.0841
40,60,4,32,28,18.00,7.004,0.1684,0.6259,0.346,0.0684,0.0741,0.0843
45,55,6,34,28,20.00,7.774,0.1568,0.6154,0.424,0.0568,0.0846,0.0849
65,35,1,41,40,21.00,8.174,0.1524,0.6604,0.824,0.0524,0.0396,0.0865
75,25,4,36,32,20.00,7.774,0.1572,0.6090,0.424,0.0572,0.0910,0.0874
70,30,4,36,32,20.00,7.774,0.1572,0.6090,0.424,0.0572,0.0910,0.0874
55,45,6,34,28,20.00,7.774,0.1572,0.6090,0.424,0.0572,0.0910,0.0874
50,50,6,34,28,20.00,7.774,0.1572,0.6090,0.424,0.0572,0.0910,0.0874
65,35,2,34,32,18.00,6.941,0.1690,0.6260,0.409,0.0690,0.0740,0.0877
50,50,3,39,36,21.00,8.190,0.1528,0.6597,0.840,0.0528,0.0403,0.0878
30,70,8,32,24,20.00,7.759,0.1575,0.6060,0.409,0.0575,0.0940,0.0878
45,55,4,32,28,18.00,6.973,0.1688,0.6198,0.377,0.0688,0.0802,0.0882
30,70,5,37,32,21.00,8.190,0.1526,0.6570,0.840,0.0526,0.0430,0.0886
35,65,8,32,24,20.00,7.758,0.1573,0.6027,0.408,0.0573,0.0973,0.0888
70,30,1,41,40,21.00,8.190,0.1533,0.6548,0.840,0.0533,0.0452,0.0898
35,65,5,37,32,21.00,8.190,0.1533,0.6548,0.840,0.0533,0.0452,0.0898
55,45,3,39,36,21.00,8.157,0.1538,0.6510,0.807,0.0538,0.0490,0.0898
60,40,6,34,28,20.00,7.773,0.1573,0.6010,0.423,0.0573,0.0990,0.0902
75,25,2,34,32,18.00,6.973,0.1687,0.6140,0.377,0.0687,0.0860,0.0902
70,30,2,34,32,18.00,6.973,0.1687,0.6140,0.377,0.0687,0.0860,0.0902
55,45,4,32,28,18.00,6.973,0.1687,0.6140,0.377,0.0687,0.0860,0.0902
50,50,4,32,28,18.00,6.973,0.1687,0.6140,0.377,0.0687,0.0860,0.0902
45,55,0,44,44,22.00,8.527,0.1499,0.7059,1.177,0.0499,0.0059,0.0908
65,35,6,34,28,20.00,7.758,0.1568,0.5948,0.408,0.0568,0.1052,0.0913
30,70,2,42,40,22.00,8.576,0.1492,0.7017,1.226,0.0492,0.0017,0.0914
60,40,3,39,36,21.00,8.174,0.1533,0.6459,0.824,0.0533,0.0541,0.0921
30,70,6,30,24,18.00,6.957,0.1688,0.6108,0.393,0.0688,0.0892,0.0922
75,25,1,41,40,21.00,8.189,0.1532,0.6474,0.839,0.0532,0.0526,0.0923
40,60,5,37,32,21.00,8.159,0.1538,0.6440,0.809,0.0538,0.0560,0.0923
30,70,1,33,32,17.00,6.587,0.1724,0.6695,0.763,0.0724,0.0305,0.0923
50,50,0,44,44,22.00,8.608,0.1494,0.6990,1.258,0.0494,0.0010,0.0929
35,65,1,33,32,17.00,6.588,0.1722,0.6673,0.762,0.0722,0.0327,0.0929
65,35,3,39,36,21.00,8.158,0.1537,0.6400,0.808,0.0537,0.0600,0.0936
45,55,5,37,32,21.00,8.158,0.1537,0.6400,0.808,0.0537,0.0600,0.0936
